"order_id","sales","profit","quantity","category","sub_category","Cost","Total_Cost","Total_profit"
AZ-2011-1735855,31,9,2,Office Supplies,Binders,22,22,18
AZ-2011-1754604,67,28,3,Office Supplies,Supplies,39,39,84
AZ-2011-176674,172,48,2,Office Supplies,Appliances,124,124,96
AZ-2011-176674,275,49,5,Office Supplies,Art,226,226,245
AZ-2011-177100,527,132,2,Technology,Copiers,395,395,264
AZ-2011-1773848,76,31,5,Office Supplies,Storage,45,45,155
AZ-2011-1776203,45,16,3,Office Supplies,Art,29,29,48
AZ-2011-1816950,26,-11,1,Office Supplies,Binders,37,37,-11
AZ-2011-1845681,84,41,4,Office Supplies,Paper,43,43,164
AZ-2011-1868249,777,129,7,Technology,Phones,648,648,903
AZ-2011-1890132,51,14,2,Office Supplies,Art,37,37,28
AZ-2011-1902971,600,77,4,Furniture,Bookcases,105,523,308
AZ-2011-1902971,395,120,9,Office Supplies,Binders,38,275,1080
AZ-2011-1916360,288,20,2,Furniture,Bookcases,268,268,40
AZ-2011-1916555,61,7,6,Office Supplies,Storage,54,54,42
AZ-2011-1930058,71,1,3,Office Supplies,Art,70,70,3
AZ-2011-1967754,132,54,5,Office Supplies,Art,78,78,270
AZ-2011-1967754,93,40,2,Technology,Accessories,53,53,80
AZ-2011-1976919,97,12,2,Office Supplies,Binders,85,85,24
AZ-2011-2001312,52,19,4,Office Supplies,Envelopes,33,33,76
AZ-2011-2001312,136,15,4,Office Supplies,Paper,121,121,60
AZ-2011-2002251,58,8,2,Office Supplies,Art,50,50,16
AZ-2011-201891,32,10,3,Office Supplies,Labels,22,22,30
AZ-2011-2030946,144,35,3,Office Supplies,Appliances,109,109,105
AZ-2011-2030946,41,1,2,Office Supplies,Storage,40,40,2
AZ-2011-2079755,990,149,5,Furniture,Bookcases,841,841,745
AZ-2011-2079755,17,7,2,Office Supplies,Fasteners,10,10,14
AZ-2011-209146,152,49,3,Office Supplies,Art,103,103,147
AZ-2011-2099050,46,8,3,Office Supplies,Art,38,38,24
AZ-2011-2099050,116,42,5,Office Supplies,Paper,25,74,210
AZ-2011-2099050,359,179,3,Technology,Copiers,180,180,537
AZ-2011-2112563,51,18,3,Office Supplies,Art,33,33,54
AZ-2011-2112563,292,87,4,Technology,Machines,150,205,348
AZ-2011-211681,1036,321,6,Furniture,Bookcases,715,715,1926
AZ-2011-211681,26,10,2,Office Supplies,Binders,16,16,20
AZ-2011-2118516,230,81,6,Office Supplies,Paper,49,149,486
AZ-2011-2118516,53,22,2,Office Supplies,Supplies,31,31,44
AZ-2011-2141552,82,3,3,Office Supplies,Supplies,79,79,9
AZ-2011-2143841,289,48,3,Furniture,Furnishings,241,241,144
AZ-2011-2143841,91,30,8,Office Supplies,Binders,8,61,240
AZ-2011-2143841,113,-13,3,Technology,Accessories,126,126,-39
AZ-2011-2143841,860,0,3,Technology,Copiers,860,860,0
AZ-2011-2148580,65,25,1,Technology,Phones,40,40,25
AZ-2011-2169445,47,7,7,Office Supplies,Labels,40,40,49
AZ-2011-2169445,105,42,3,Office Supplies,Supplies,63,63,126
AZ-2011-2169445,82,14,2,Technology,Phones,68,68,28
AZ-2011-2179552,1266,323,3,Furniture,Tables,943,943,969
AZ-2011-2189408,194,73,3,Technology,Phones,121,121,219
AZ-2011-2201547,94,14,7,Office Supplies,Paper,80,80,98
AZ-2011-2201547,194,0,4,Office Supplies,Storage,194,194,0
AZ-2011-2202582,152,7,2,Furniture,Chairs,145,145,14
AZ-2011-2222024,34,-6,2,Office Supplies,Paper,40,40,-12
AZ-2011-2223205,113,25,2,Office Supplies,Storage,88,88,50
AZ-2011-2245674,12,3,2,Office Supplies,Binders,9,9,6
AZ-2011-2245674,666,120,5,Office Supplies,Storage,546,546,600
AZ-2011-2270958,1003,-943,4,Furniture,Tables,1946,1946,-3772
AZ-2011-2270958,164,78,3,Office Supplies,Art,86,86,234
AZ-2011-2270958,29,-13,1,Office Supplies,Storage,42,42,-13
AZ-2011-2270958,30,-5,1,Technology,Machines,35,35,-5
AZ-2011-2273790,185,17,7,Office Supplies,Art,168,168,119
AZ-2011-2273790,155,28,3,Office Supplies,Binders,127,127,84
AZ-2011-231889,36,12,2,Office Supplies,Art,24,24,24
AZ-2011-2320734,13,2,1,Office Supplies,Paper,11,11,2
AZ-2011-2369759,25,10,2,Office Supplies,Fasteners,15,15,20
AZ-2011-2369759,72,4,2,Technology,Machines,68,68,8
AZ-2011-2389500,554,144,12,Office Supplies,Supplies,410,410,1728
AZ-2011-2397035,112,4,4,Office Supplies,Art,108,108,16
AZ-2011-2397035,50,6,4,Office Supplies,Binders,44,44,24
AZ-2011-2397035,208,12,2,Technology,Machines,196,196,24
AZ-2011-2437108,24,10,2,Office Supplies,Art,14,14,20
AZ-2011-2437108,104,16,2,Office Supplies,Storage,88,88,32
AZ-2011-2445910,85,-33,1,Office Supplies,Storage,118,118,-33
AZ-2011-2459767,118,41,4,Office Supplies,Art,77,77,164
AZ-2011-2523831,44,10,3,Office Supplies,Art,34,34,30
AZ-2011-252578,39,10,6,Office Supplies,Binders,29,29,60
AZ-2011-252578,444,89,4,Technology,Phones,355,355,356
AZ-2011-2536125,31,13,4,Office Supplies,Binders,18,18,52
AZ-2011-2536125,47,21,3,Office Supplies,Envelopes,26,26,63
AZ-2011-2536125,40,18,2,Office Supplies,Fasteners,22,22,36
AZ-2011-2536125,102,-25,3,Office Supplies,Storage,127,127,-75
AZ-2011-254910,83,10,2,Office Supplies,Supplies,73,73,20
AZ-2011-2564570,145,17,3,Office Supplies,Binders,128,128,51
AZ-2011-2571428,445,124,9,Office Supplies,Art,321,321,1116
AZ-2011-2571428,136,13,5,Office Supplies,Binders,123,123,65
AZ-2011-2571428,115,37,3,Office Supplies,Storage,78,78,111
AZ-2011-257509,257,108,1,Technology,Accessories,149,149,108
AZ-2011-2598415,713,40,4,Furniture,Bookcases,673,673,160
AZ-2011-2598415,827,-395,4,Furniture,Tables,1222,1222,-1580
AZ-2011-2598415,324,-25,6,Office Supplies,Appliances,349,349,-150
AZ-2011-2598415,185,44,11,Office Supplies,Binders,111,141,484
AZ-2011-259939,654,247,2,Furniture,Bookcases,407,407,494
AZ-2011-259939,17,0,1,Office Supplies,Paper,17,17,0
AZ-2011-259939,169,38,3,Office Supplies,Storage,131,131,114
AZ-2011-259939,862,198,5,Technology,Machines,664,664,990
AZ-2011-2606042,133,5,5,Office Supplies,Art,128,128,25
AZ-2011-2606042,80,21,7,Office Supplies,Binders,59,59,147
AZ-2011-2627856,41,18,4,Office Supplies,Art,23,23,72
AZ-2011-2669880,112,-3,2,Office Supplies,Storage,115,115,-6
AZ-2011-2669880,1894,701,5,Technology,Copiers,1193,1193,3505
AZ-2011-2669941,161,80,5,Office Supplies,Art,81,81,400
AZ-2011-2690707,56,0,2,Office Supplies,Binders,56,56,0
AZ-2011-2690707,47,18,2,Office Supplies,Envelopes,29,29,36
AZ-2011-269617,41,12,3,Office Supplies,Binders,29,29,36
AZ-2011-2730322,293,146,6,Furniture,Furnishings,147,147,876
AZ-2011-2730322,77,2,2,Office Supplies,Appliances,75,75,4
AZ-2011-2730322,85,36,5,Office Supplies,Art,49,49,180
AZ-2011-2730322,276,16,7,Office Supplies,Supplies,260,260,112
AZ-2011-2730322,1292,-137,4,Technology,Copiers,1429,1429,-548
AZ-2011-2730322,361,132,5,Technology,Machines,229,229,660
AZ-2011-2730322,568,73,4,Technology,Phones,495,495,292
AZ-2011-2748688,51,17,2,Office Supplies,Art,34,34,34
AZ-2011-2750871,50,25,5,Office Supplies,Art,25,25,125
AZ-2011-2762983,538,221,7,Office Supplies,Appliances,317,317,1547
AZ-2011-2762983,119,38,9,Office Supplies,Art,81,81,342
AZ-2011-2762983,48,6,2,Office Supplies,Envelopes,42,42,12
AZ-2011-2762983,493,185,11,Office Supplies,Storage,229,308,2035
AZ-2011-2777408,147,0,12,Office Supplies,Art,147,147,0
AZ-2011-2777408,102,35,2,Office Supplies,Storage,67,67,70
AZ-2011-2777408,47,13,1,Technology,Machines,34,34,13
AZ-2011-2787690,1236,302,3,Furniture,Chairs,934,934,906
AZ-2011-2792664,599,0,2,Technology,Copiers,599,599,0
AZ-2011-2820672,212,70,2,Technology,Phones,142,142,140
AZ-2011-2825684,33,15,5,Office Supplies,Binders,10,18,75
AZ-2011-2831492,43,11,6,Office Supplies,Labels,32,32,66
AZ-2011-2847355,76,2,5,Office Supplies,Supplies,74,74,10
AZ-2011-2851167,32,7,3,Office Supplies,Binders,25,25,21
AZ-2011-2859436,304,97,6,Office Supplies,Art,207,207,582
AZ-2011-2859436,115,2,3,Technology,Machines,113,113,6
AZ-2011-2875746,79,35,5,Office Supplies,Envelopes,44,44,175
AZ-2011-2881763,70,22,3,Furniture,Furnishings,48,48,66
AZ-2011-2884922,17,2,2,Office Supplies,Labels,15,15,4
AZ-2011-2892090,135,63,1,Office Supplies,Storage,72,72,63
AZ-2011-2892090,191,48,1,Technology,Copiers,143,143,48
AZ-2011-2905039,1234,370,3,Furniture,Chairs,864,864,1110
AZ-2011-2918397,155,36,1,Furniture,Bookcases,119,119,36
AZ-2011-2918397,33,2,3,Office Supplies,Fasteners,31,31,6
AZ-2011-2918397,716,143,4,Office Supplies,Storage,573,573,572
AZ-2011-2939440,117,31,12,Office Supplies,Fasteners,47,86,372
AZ-2011-2948812,237,83,8,Office Supplies,Art,154,154,664
AZ-2011-2948812,104,25,9,Office Supplies,Binders,79,79,225
AZ-2011-2948812,58,27,3,Office Supplies,Fasteners,31,31,81
AZ-2011-2948812,29,9,3,Office Supplies,Storage,20,20,27
AZ-2011-2948812,104,0,3,Office Supplies,Supplies,104,104,0
AZ-2011-2948812,578,129,4,Technology,Machines,449,449,516
AZ-2011-2956456,110,22,6,Office Supplies,Fasteners,88,88,132
AZ-2011-297789,59,21,2,Office Supplies,Art,38,38,42
AZ-2011-297789,46,19,3,Office Supplies,Storage,27,27,57
AZ-2011-2986519,964,231,5,Technology,Copiers,733,733,1155
AZ-2011-2986519,351,84,3,Technology,Machines,267,267,252
AZ-2011-3004709,1108,326,2,Technology,Phones,782,782,652
AZ-2011-3004753,147,53,3,Office Supplies,Binders,94,94,159
AZ-2011-3020021,2053,410,4,Office Supplies,Appliances,1643,1643,1640
AZ-2011-3020021,57,4,3,Office Supplies,Paper,53,53,12
AZ-2011-3059419,48,21,3,Office Supplies,Envelopes,27,27,63
AZ-2011-3081666,57,25,3,Furniture,Furnishings,32,32,75
AZ-2011-3089735,1889,483,7,Office Supplies,Appliances,1406,1406,3381
AZ-2011-3089735,498,139,10,Office Supplies,Binders,359,359,1390
AZ-2011-3096034,41,4,4,Office Supplies,Labels,37,37,16
AZ-2011-3096034,91,35,2,Technology,Accessories,56,56,70
AZ-2011-309750,457,59,9,Office Supplies,Art,398,398,531
AZ-2011-309750,253,86,9,Office Supplies,Paper,152,167,774
AZ-2011-3101381,32,8,5,Office Supplies,Binders,24,24,40
AZ-2011-310635,63,26,2,Office Supplies,Binders,37,37,52
AZ-2011-310635,605,266,5,Technology,Machines,339,339,1330
AZ-2011-3114201,37,8,4,Office Supplies,Storage,29,29,32
AZ-2011-3117259,249,70,6,Technology,Machines,179,179,420
AZ-2011-3120181,114,17,2,Office Supplies,Art,97,97,34
AZ-2011-3120181,120,26,5,Office Supplies,Supplies,94,94,130
AZ-2011-3127133,311,68,6,Furniture,Furnishings,243,243,408
AZ-2011-3127133,34,9,3,Office Supplies,Binders,25,25,27
AZ-2011-3149617,999,70,4,Technology,Copiers,929,929,280
AZ-2011-3182961,15,5,2,Office Supplies,Binders,10,10,10
AZ-2011-3182961,1469,308,5,Technology,Copiers,1161,1161,1540
AZ-2011-3190941,97,37,3,Office Supplies,Art,60,60,111
AZ-2011-3190941,94,21,2,Office Supplies,Envelopes,73,73,42
AZ-2011-3190941,104,27,5,Office Supplies,Storage,77,77,135
AZ-2011-3190941,126,59,1,Technology,Copiers,67,67,59
AZ-2011-3213049,742,59,3,Technology,Accessories,683,683,177
AZ-2011-3223139,215,17,3,Furniture,Chairs,198,198,51
AZ-2011-3223139,59,29,2,Office Supplies,Envelopes,30,30,58
AZ-2011-3227418,469,78,3,Furniture,Bookcases,391,391,234
AZ-2011-3227418,6,2,1,Office Supplies,Binders,4,4,2
AZ-2011-3227418,336,30,2,Technology,Phones,306,306,60
AZ-2011-3234061,154,14,3,Office Supplies,Binders,140,140,42
AZ-2011-3234061,85,36,3,Office Supplies,Paper,49,49,108
AZ-2011-3247022,608,189,4,Furniture,Bookcases,419,419,756
AZ-2011-3247022,159,14,8,Office Supplies,Art,145,145,112
AZ-2011-3247022,123,4,5,Office Supplies,Binders,119,119,20
AZ-2011-3247022,255,45,2,Office Supplies,Storage,210,210,90
AZ-2011-3252710,12,1,3,Office Supplies,Binders,11,11,3
AZ-2011-3252710,1508,332,4,Technology,Copiers,1176,1176,1328
AZ-2011-3293357,15,1,2,Office Supplies,Labels,14,14,2
AZ-2011-3293357,47,17,2,Office Supplies,Paper,30,30,34
AZ-2011-3304186,57,14,3,Office Supplies,Art,43,43,42
AZ-2011-3304186,24,1,2,Office Supplies,Binders,23,23,2
AZ-2011-3304186,39,18,2,Office Supplies,Fasteners,21,21,36
AZ-2011-3304186,242,10,5,Office Supplies,Paper,232,232,50
AZ-2011-3304186,533,-275,8,Office Supplies,Storage,713,808,-2200
AZ-2011-3304186,312,12,12,Technology,Accessories,300,300,144
AZ-2011-3308302,131,4,3,Office Supplies,Storage,127,127,12
AZ-2011-3308302,152,12,8,Office Supplies,Supplies,140,140,96
AZ-2011-3308302,222,60,4,Technology,Phones,162,162,240
AZ-2011-332801,83,12,3,Office Supplies,Art,71,71,36
AZ-2011-3348631,534,232,3,Office Supplies,Storage,302,302,696
AZ-2011-3348631,99,29,2,Technology,Machines,70,70,58
AZ-2011-3348631,533,112,7,Technology,Phones,421,421,784
AZ-2011-3378761,307,82,2,Furniture,Bookcases,225,225,164
AZ-2011-3378761,155,56,3,Furniture,Furnishings,99,99,168
AZ-2011-3378761,282,70,8,Office Supplies,Binders,79,212,560
AZ-2011-3378761,583,245,7,Technology,Machines,338,338,1715
AZ-2011-3378761,773,46,5,Technology,Phones,727,727,230
AZ-2011-340357,106,22,11,Office Supplies,Labels,23,84,242
AZ-2011-3434177,1059,106,6,Furniture,Chairs,953,953,636
AZ-2011-3434177,87,27,2,Furniture,Furnishings,60,60,54
AZ-2011-3434177,965,125,7,Office Supplies,Storage,840,840,875
AZ-2011-3485437,21,5,2,Office Supplies,Binders,16,16,10
AZ-2011-3485437,88,40,4,Office Supplies,Paper,48,48,160
AZ-2011-3485437,87,41,2,Office Supplies,Supplies,46,46,82
AZ-2011-3509727,1796,844,7,Technology,Accessories,952,952,5908
AZ-2011-3515834,22,7,2,Office Supplies,Binders,15,15,14
AZ-2011-3535148,34,8,3,Office Supplies,Art,26,26,24
AZ-2011-3556179,770,85,7,Furniture,Furnishings,685,685,595
AZ-2011-3556179,193,8,4,Office Supplies,Paper,185,185,32
AZ-2011-3586083,69,18,1,Office Supplies,Appliances,51,51,18
AZ-2011-3586083,144,65,5,Office Supplies,Binders,79,79,325
AZ-2011-3586083,22,1,1,Office Supplies,Supplies,21,21,1
AZ-2011-3640757,36,15,3,Office Supplies,Art,21,21,45
AZ-2011-3674097,503,166,11,Office Supplies,Envelopes,337,337,1826
AZ-2011-3674097,28,13,3,Office Supplies,Labels,15,15,39
AZ-2011-3706904,129,27,4,Office Supplies,Art,33,102,108
AZ-2011-3714764,72,14,3,Office Supplies,Art,58,58,42
AZ-2011-3755505,286,83,2,Furniture,Bookcases,203,203,166
AZ-2011-3755505,205,80,3,Furniture,Chairs,125,125,240
AZ-2011-3755505,88,27,2,Furniture,Furnishings,61,61,54
AZ-2011-3755505,137,63,3,Office Supplies,Art,74,74,189
AZ-2011-3755505,45,2,2,Office Supplies,Paper,43,43,4
AZ-2011-3755505,1593,653,5,Technology,Copiers,940,940,3265
AZ-2011-3810756,170,32,1,Technology,Phones,138,138,32
AZ-2011-3828424,268,24,2,Office Supplies,Storage,244,244,48
AZ-2011-3828424,565,57,4,Technology,Phones,508,508,228
AZ-2011-3828805,168,56,3,Office Supplies,Storage,112,112,168
AZ-2011-3846849,512,210,9,Office Supplies,Storage,302,302,1890
AZ-2011-3846849,1256,243,18,Technology,Accessories,621,1013,4374
AZ-2011-3858939,116,38,8,Office Supplies,Art,78,78,304
AZ-2011-3858939,36,5,4,Office Supplies,Labels,31,31,20
AZ-2011-3858939,90,30,2,Office Supplies,Supplies,60,60,60
AZ-2011-3885003,257,74,5,Furniture,Furnishings,183,183,370
AZ-2011-3885003,44,8,2,Office Supplies,Art,36,36,16
AZ-2011-3885003,64,25,9,Office Supplies,Labels,39,39,225
AZ-2011-3885003,785,86,3,Technology,Copiers,699,699,258
AZ-2011-3885003,306,9,2,Technology,Phones,297,297,18
AZ-2011-3901505,89,31,3,Office Supplies,Art,58,58,93
AZ-2011-3903564,44,20,2,Office Supplies,Envelopes,24,24,40
AZ-2011-3921026,113,56,1,Technology,Accessories,57,57,56
AZ-2011-3921026,455,-64,2,Technology,Machines,519,519,-128
AZ-2011-3930237,17,4,1,Office Supplies,Fasteners,13,13,4
AZ-2011-3937280,76,9,4,Furniture,Furnishings,67,67,36
AZ-2011-3937280,80,34,3,Office Supplies,Supplies,46,46,102
AZ-2011-3958316,65,20,5,Office Supplies,Binders,45,45,100
AZ-2011-3958316,1241,138,7,Office Supplies,Storage,1103,1103,966
AZ-2011-3963408,151,5,3,Furniture,Furnishings,146,146,15
AZ-2011-3973701,34,0,3,Office Supplies,Fasteners,34,34,0
AZ-2011-3976238,1622,534,3,Technology,Phones,1088,1088,1602
AZ-2011-3981757,29,6,2,Office Supplies,Art,23,23,12
AZ-2011-3982438,13,5,1,Office Supplies,Envelopes,8,8,5
AZ-2011-3989901,40,17,5,Office Supplies,Binders,23,23,85
AZ-2011-3998709,95,2,5,Office Supplies,Fasteners,93,93,10
AZ-2011-3999419,194,70,4,Office Supplies,Storage,124,124,280
AZ-2011-4069925,107,30,4,Office Supplies,Art,77,77,120
AZ-2011-4072657,103,30,2,Furniture,Furnishings,73,73,60
AZ-2011-4072657,132,61,6,Office Supplies,Paper,71,71,366
AZ-2011-4072657,124,41,1,Office Supplies,Storage,83,83,41
AZ-2011-4087409,2056,391,5,Furniture,Bookcases,1665,1665,1955
AZ-2011-4159708,16,0,1,Office Supplies,Binders,16,16,0
AZ-2011-4173505,66,19,1,Furniture,Chairs,47,47,19
AZ-2011-4173505,151,43,7,Office Supplies,Art,50,108,301
AZ-2011-4173505,45,6,4,Office Supplies,Binders,16,39,24
AZ-2011-4205736,20,4,1,Furniture,Furnishings,16,16,4
AZ-2011-4205736,133,4,10,Office Supplies,Binders,129,129,40
AZ-2011-4229445,636,273,1,Technology,Phones,363,363,273
AZ-2011-4234441,187,41,3,Furniture,Chairs,146,146,123
AZ-2011-4342621,56,6,2,Office Supplies,Art,50,50,12
AZ-2011-4342621,201,76,15,Office Supplies,Binders,32,125,1140
AZ-2011-4342621,79,32,3,Office Supplies,Storage,47,47,96
AZ-2011-4342621,89,28,4,Office Supplies,Supplies,61,61,112
AZ-2011-4342621,282,76,2,Technology,Copiers,206,206,152
AZ-2011-438758,230,5,2,Office Supplies,Storage,225,225,10
AZ-2011-438758,103,40,3,Office Supplies,Supplies,63,63,120
AZ-2011-4432302,116,21,2,Furniture,Furnishings,95,95,42
AZ-2011-4442288,122,50,7,Office Supplies,Art,72,72,350
AZ-2011-4452827,89,15,3,Office Supplies,Binders,74,74,45
AZ-2011-4452827,144,13,3,Office Supplies,Supplies,131,131,39
AZ-2011-4460165,38,9,2,Office Supplies,Art,29,29,18
AZ-2011-4495779,426,68,3,Office Supplies,Storage,358,358,204
AZ-2011-4501299,146,26,3,Office Supplies,Art,120,120,78
AZ-2011-4501299,9,2,1,Office Supplies,Binders,7,7,2
AZ-2011-4565223,93,45,5,Office Supplies,Fasteners,48,48,225
AZ-2011-4599404,146,7,5,Office Supplies,Art,139,139,35
AZ-2011-4612792,195,91,4,Office Supplies,Art,104,104,364
AZ-2011-4613853,13,2,1,Office Supplies,Binders,11,11,2
AZ-2011-4614904,44,8,2,Office Supplies,Art,36,36,16
AZ-2011-4696725,162,43,2,Technology,Phones,119,119,86
AZ-2011-4704797,259,-55,2,Furniture,Chairs,314,314,-110
AZ-2011-4704797,55,10,1,Office Supplies,Art,45,45,10
AZ-2011-4707711,57,5,3,Office Supplies,Fasteners,52,52,15
AZ-2011-4735956,88,22,2,Office Supplies,Storage,66,66,44
AZ-2011-4743912,332,55,3,Furniture,Bookcases,277,277,165
AZ-2011-4763989,590,260,3,Furniture,Bookcases,330,330,780
AZ-2011-4764378,239,96,8,Office Supplies,Binders,143,143,768
AZ-2011-4764378,187,15,1,Office Supplies,Storage,172,172,15
AZ-2011-4765625,60,10,2,Office Supplies,Art,50,50,20
AZ-2011-4765625,170,69,5,Office Supplies,Paper,101,101,345
AZ-2011-4765625,1630,594,6,Technology,Copiers,1036,1036,3564
AZ-2011-479838,2118,441,7,Furniture,Bookcases,196,1677,3087
AZ-2011-479838,34,12,2,Office Supplies,Envelopes,22,22,24
AZ-2011-4802355,261,15,6,Furniture,Furnishings,38,246,90
AZ-2011-4802639,145,36,3,Furniture,Chairs,109,109,108
AZ-2011-4802639,50,9,3,Office Supplies,Paper,41,41,27
AZ-2011-4802639,51,9,3,Office Supplies,Storage,42,42,27
AZ-2011-4818219,616,142,3,Furniture,Tables,474,474,426
AZ-2011-4827146,55,10,1,Office Supplies,Art,45,45,10
AZ-2011-4827146,97,31,2,Office Supplies,Storage,66,66,62
AZ-2011-4835209,100,33,6,Office Supplies,Fasteners,67,67,198
AZ-2011-4865633,143,44,2,Technology,Machines,99,99,88
AZ-2011-4872140,39,3,3,Office Supplies,Binders,36,36,9
AZ-2011-494581,78,20,3,Office Supplies,Art,58,58,60
AZ-2011-4946550,197,79,4,Office Supplies,Binders,118,118,316
AZ-2011-4946550,14,7,1,Office Supplies,Fasteners,7,7,7
AZ-2011-4951642,134,37,5,Office Supplies,Art,97,97,185
